,author_id,mentions
69,1543980866979958785,@RedX_13 @_code_redex @dev_olagold @MARPAC_FMARP @Fortwin___ @iamAbiodunAA @thelekeabiodun @realest_tomi @Dani__Marti @DevMashood @TwitterDev Yesssirrr
70,1543980614906421249,"@da_ben_dan @ChrisJBakke Technically, from my understanding, a thread consists of multiple tweets inside a parent thread.

Maybe I'm wrong, or am I? @TwitterDev @TwitterSupport @Twitter

What's the right way to create a thread inside another tweet—think reply? https://t.co/kBbSHR24Ta"
71,1543948078054576130,@high_clef @_code_redex @dev_olagold @MARPAC_FMARP @Fortwin___ @iamAbiodunAA @thelekeabiodun @realest_tomi @Dani__Marti @DevMashood @TwitterDev 😹😹😹😹 hello world na something
72,1543924820395581440,@thetechrat @_code_redex @dev_olagold @MARPAC_FMARP @Fortwin___ @iamAbiodunAA @thelekeabiodun @realest_tomi @Dani__Marti @DevMashood @TwitterDev I'm loyal
73,1543923968746438656,@iigudy @_code_redex @dev_olagold @MARPAC_FMARP @Fortwin___ @iamAbiodunAA @thelekeabiodun @realest_tomi @Dani__Marti @DevMashood @TwitterDev My Oga https://t.co/ZTIgt5IlSr
74,1543916525337419776,"DHL dropped off this surprise package from @Twitter / @TwitterDev earlier.

A bag, containers, and cutlery. This will be useful for days trips with the little one.

Thankyou! https://t.co/HrpkQlJP36"
75,1543903748904390659,@VeldaKiara @TwitterDev @LeBraat @2006legend 🥹🥹🥹🥹🥹
76,1543901758220558336,"@VeldaKiara @TwitterDev @LeBraat @2006legend 🥳🥳🥳💫 Eiiish 😁, ✨"
77,1543890630480379907,"@VeldaKiara @TwitterDev @LeBraat @2006legend Aawwww 🔥🔥 You deserve this Velda 🤩
Sasa uanze kukula lunch Site 😂😂 wachana na wengine wetu 😂😂"
78,1543890375198269440,@high_clef @_code_redex @dev_olagold @MARPAC_FMARP @Fortwin___ @iamAbiodunAA @thelekeabiodun @realest_tomi @Dani__Marti @DevMashood @TwitterDev You're my boss here o🙌🙌
79,1543889208938340352,"BOARD OF FRIENDS GET TOGETHER 
JULY SESSIONS 2022
PROGRAMME  INVITATION 
To    @TwitterBusiness    @Policy  @TwitterMoments    @TwitterCreate     @TwitterCreators    @TwitterDev
@TwitterMovies
 @TwitterAsians     @TwitterAble @jack https://t.co/4IGagom4If"
80,1543881654095183873,@high_clef @_code_redex @dev_olagold @MARPAC_FMARP @Fortwin___ @iamAbiodunAA @thelekeabiodun @realest_tomi @Dani__Marti @DevMashood @TwitterDev My motivator 🙌🙌
81,1543877768613695488,"Surprise from @TwitterDev  😜😋

Lunch just got a little bit more interesting 

Thanks @LeBraat and @2006legend 

#BuildWhatsNext🚀 https://t.co/2QEsvabsVU"
82,1543874844785360897,@Henrym3n3z @_code_redex @dev_olagold @MARPAC_FMARP @Fortwin___ @iamAbiodunAA @thelekeabiodun @realest_tomi @Dani__Marti @DevMashood @TwitterDev Alright
83,1543872865891749888,@EdetEmm02234938 @_code_redex @dev_olagold @MARPAC_FMARP @Fortwin___ @iamAbiodunAA @thelekeabiodun @realest_tomi @Dani__Marti @DevMashood @TwitterDev Our time will come 🤲🏽
84,1543870674007195648,@followkenzy @_code_redex @dev_olagold @MARPAC_FMARP @Fortwin___ @iamAbiodunAA @thelekeabiodun @realest_tomi @Dani__Marti @DevMashood @TwitterDev I loyal
85,1543870644730871809,"@Henrym3n3z @_code_redex @dev_olagold @MARPAC_FMARP @Fortwin___ @iamAbiodunAA @thelekeabiodun @realest_tomi @Dani__Marti @DevMashood @TwitterDev I no say setup boss, I say code😹"
86,1543862802091319296,"@Henrym3n3z @_code_redex @dev_olagold @MARPAC_FMARP @Fortwin___ @iamAbiodunAA @thelekeabiodun @realest_tomi @Dani__Marti @DevMashood @TwitterDev My boss, drop yours 🤲🏽"
87,1543660923033976833,"🐦 #Chirp Developer Conference
https://t.co/xOxR4i4n6M
v/ @TwitterDev

📅Nov 16

#developer #programmer #development #Software #Engineering #engineers #coder #100DaysOfCode #DEVCommunity #DevOps #programming #coding #API #webdev #FrontEnd #Python #STEM #WomenWhoCode #GirlsWhoCode https://t.co/eaj5LY7dYo https://t.co/4bi7cazZ3g"
88,1543643515002953730,"@GymcrashGames @TwitterDev this made me laugh, nice one - true! we should have thought of that! You could always *submit* something with that name, of course... ;-)"
89,1543201125985386497,Twitter should work on pinning at least 3 tweets on TL. @Twitter @TwitterDev
90,1543198413407551491,@TwitterDev Is there any recording to re-visit the session please ?
91,1543160858699632641,@TwitterDev @suhemparack @blackgirlbytes yessss! be there or be square @TwitterDev @Twitter @elonmusk
92,1543154154402725889,"Requesting the mic in a space, I'm not being seen! @TwitterSupport why is that??
@Twitter 
@TwitterDev https://t.co/bIkD5fXkF9"
93,1543145014737379328,"@Twitter @TwitterSupport @TwitterDev @damienviel @paraga Thanks my friend for have answer message. Indeed you hold them by the balls legally, whether in relation to their TOS of @twitter than physically and morally. hahaha they are completely KO. they should have listened to you. https://t.co/ntCA3oPztb"
94,1543093937228890113,"Hi @TwitterSafety why did you decide to take away the option to report someone for using REPLY to Spam. I do not see it in latest Report function.

It happens a lot, actually.
#Feedback #spam @TwitterDev @TwitterEng"
95,1543079333719310336,@TwitterSupport @paraga @Twitter @TwitterFrance @TwitterDev @elonmusk Les gens devraient télécharger le TOS et étudier cela pour savoir qu’ils ne absolument pas en sécurité et que le CGU @Twitter est bourré d’incohérences et de failles exploitables juridiquement https://t.co/hgPuv7FW4v
96,1542982739133169667,@Fransunisoft @TwitterDev Thank you!!!
97,1542980049405632514,@ashevat @TwitterDev 🥹🥹
98,1542971468048465920,Około godz. 12.30 doszło do pożaru śmieci na jednym z balkonów budynku przy ul. Głowackiego. https://t.co/4csBPc1dBY #example # demo przez @twitterdev
