id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1545403544949477378,1545294121853648897,2022-07-08 20:44:51 WIB,2022-07-08,20:44:51,+0700,1395487479495528453,ksch3rry,𝒌𝒂𝒔𝒔𝒊 🦋 • 𝐀𝐑𝐌𝐘 𝐃𝐀𝐘 💜,,"@gofoodindonesia [📝 — TRAD]  Comida de varios restaurantes, ¡una orden es suficiente!  Si quieres pizza, hamburguesas o lo que sea, ¡puedes pedir todo directamente desde tu restaurante favorito a través de Order at Once!     https://t.co/dxwALbgCrl",es,[],[],[],0,0,0,[],[],https://twitter.com/KSCH3RRY/status/1545403544949477378,False,,1,https://pbs.twimg.com/amplify_video_thumb/1545294097103179776/img/7UdDNYXIkQK4qAxk.jpg,,,,,,,"[{'screen_name': 'gofoodindonesia', 'name': 'GoFood Indonesia', 'id': '1105408086569672706'}]",,,,
1545403526779895810,1545403526779895810,2022-07-08 20:44:47 WIB,2022-07-08,20:44:47,+0700,1388891067664138246,berkelan4_,aira,,wtb voucher gofood  https://t.co/FOHoBeVCQM,nl,[],[],['https://pbs.twimg.com/media/FXJgUTtagAItrRJ.jpg'],0,0,0,[],[],https://twitter.com/berkelan4_/status/1545403526779895810,False,,1,https://pbs.twimg.com/media/FXJgUTtagAItrRJ.jpg,,,,,,,[],,,,
1545403406080438272,1545399850849959937,2022-07-08 20:44:18 WIB,2022-07-08,20:44:18,+0700,1304019435393396736,dearlyoyin,ً,,@MarceIious kenapa tidak gofood saja,in,[],[],[],0,0,0,[],[],https://twitter.com/dearlyoyin/status/1545403406080438272,False,,0,,,,,,,,"[{'screen_name': 'MarceIious', 'name': 'Nino.', 'id': '1526544036378873859'}]",,,,
1545402983277797376,1545294121853648897,2022-07-08 20:42:38 WIB,2022-07-08,20:42:38,+0700,1480505491423854594,jjjkyoo,ky⁷ proof,,@gofoodindonesia Gemoyyyy 😭🤏🏼,in,[],[],[],0,0,0,[],[],https://twitter.com/jjjkyoo/status/1545402983277797376,False,,0,,,,,,,,"[{'screen_name': 'gofoodindonesia', 'name': 'GoFood Indonesia', 'id': '1105408086569672706'}]",,,,
1545402937706364928,1545060928739110921,2022-07-08 20:42:27 WIB,2022-07-08,20:42:27,+0700,1332362095539621890,vsc0bsbbbndqt93,방탄떡밥정리,,GoFood Indonesia짹   https://t.co/uUOA3ePNc2,in,[],['https://twitter.com/gofoodindonesia/status/1545294121853648897?t=t9lPGD1goidIgLcNlSztPg&s=19'],[],0,0,0,[],[],https://twitter.com/VSc0BsbbBNdQT93/status/1545402937706364928,False,https://twitter.com/gofoodindonesia/status/1545294121853648897?t=t9lPGD1goidIgLcNlSztPg&s=19,0,,,,,,,,[],,,,
1545402847764041731,1540594677241774080,2022-07-08 20:42:05 WIB,2022-07-08,20:42:05,+0700,1518733081,shrundipity,sherun 🏃🏻‍♀️,,@gofoodindonesia Menu #RekomendAsikGoFood  buat nemenin nonton MV #BTS  kesukaan army itu nasi goreng + sate ayam!  Mereka pernah bilang di salah satu interview kalo mereka pernah makan nasi goreng dan sate. di gofood ada ga? ya ada lah 🥰  https://t.co/0uiYFrFJXO,in,[],[],"['https://pbs.twimg.com/media/FWPX8ksUUAA_9bf.jpg', 'https://pbs.twimg.com/media/FWPX8krUcAAOd_R.jpg', 'https://pbs.twimg.com/media/FWPX8kuVsAA0cnD.jpg']",0,0,0,"['rekomendasikgofood', 'bts']",[],https://twitter.com/shrundipity/status/1545402847764041731,False,,1,https://pbs.twimg.com/media/FWPX8ksUUAA_9bf.jpg,,,,,,,"[{'screen_name': 'gofoodindonesia', 'name': 'GoFood Indonesia', 'id': '1105408086569672706'}]",,,,
1545402658609319936,1540594677241774080,2022-07-08 20:41:20 WIB,2022-07-08,20:41:20,+0700,1518733081,shrundipity,sherun 🏃🏻‍♀️,,@gofoodindonesia Menu #RekomendAsikGoFood  buat nemenin nonton MV #BTS  kesukaan army itu nasi goreng + sate ayam!  Soalnya mereka pernah bilang di salah satu interview kalo mereka pernah makan nasi goreng dan sate. di gofood ada ga? ada loh!  https://t.co/0uiYFrFJXO,in,[],[],"['https://pbs.twimg.com/media/FWPX8ksUUAA_9bf.jpg', 'https://pbs.twimg.com/media/FWPX8krUcAAOd_R.jpg', 'https://pbs.twimg.com/media/FWPX8kuVsAA0cnD.jpg']",0,0,0,"['rekomendasikgofood', 'bts']",[],https://twitter.com/shrundipity/status/1545402658609319936,False,,1,https://pbs.twimg.com/media/FWPX8ksUUAA_9bf.jpg,,,,,,,"[{'screen_name': 'gofoodindonesia', 'name': 'GoFood Indonesia', 'id': '1105408086569672706'}]",,,,
1545402434280898562,1545398723609382930,2022-07-08 20:40:27 WIB,2022-07-08,20:40:27,+0700,1452842407150637063,irmalorenamald1,Irma Lorena Maldonado Rodriguez,,@JiminGlobal @gofoodindonesia @BTS_twt 👍👍,und,[],[],[],0,0,0,[],[],https://twitter.com/IrmaLorenaMald1/status/1545402434280898562,False,,0,,,,,,,,"[{'screen_name': 'JiminGlobal', 'name': 'Jimin Global 🌎', 'id': '960891360453656576'}, {'screen_name': 'gofoodindonesia', 'name': 'GoFood Indonesia', 'id': '1105408086569672706'}, {'screen_name': 'BTS_twt', 'name': '방탄소년단', 'id': '335141638'}]",,,,
1545402237870288897,1540594677241774080,2022-07-08 20:39:40 WIB,2022-07-08,20:39:40,+0700,1518733081,shrundipity,sherun 🏃🏻‍♀️,,@gofoodindonesia Menu #RekomendAsikGoFood  buat nemenin nonton MV #BTS  kesukaan army itu nasi goreng + sate ayam!  Soalnya mereka pernah bilang di salah satu interview kalo mereka pernah makan nasi goreng dan sate. di gofood ada ga? ya pasti ada dong!  https://t.co/0uiYFrFJXO,in,[],[],"['https://pbs.twimg.com/media/FWPX8ksUUAA_9bf.jpg', 'https://pbs.twimg.com/media/FWPX8krUcAAOd_R.jpg', 'https://pbs.twimg.com/media/FWPX8kuVsAA0cnD.jpg']",0,0,0,"['rekomendasikgofood', 'bts']",[],https://twitter.com/shrundipity/status/1545402237870288897,False,,1,https://pbs.twimg.com/media/FWPX8ksUUAA_9bf.jpg,,,,,,,"[{'screen_name': 'gofoodindonesia', 'name': 'GoFood Indonesia', 'id': '1105408086569672706'}]",,,,
1545402131485978630,1540594677241774080,2022-07-08 20:39:14 WIB,2022-07-08,20:39:14,+0700,1518733081,shrundipity,sherun 🏃🏻‍♀️,,@gofoodindonesia Menu #RekomendAsikGoFood  buat nemenin nonton MV #BTS  kesukaan army itu nasi goreng + sate ayam!  Soalnya mereka pernah bilang di salah satu interview kalo mereka pernah makan nasi goreng dan sate. di gofood ada ga? ya ada dongss  https://t.co/0uiYFrFJXO,in,[],[],"['https://pbs.twimg.com/media/FWPX8ksUUAA_9bf.jpg', 'https://pbs.twimg.com/media/FWPX8krUcAAOd_R.jpg', 'https://pbs.twimg.com/media/FWPX8kuVsAA0cnD.jpg']",0,0,0,"['rekomendasikgofood', 'bts']",[],https://twitter.com/shrundipity/status/1545402131485978630,False,,1,https://pbs.twimg.com/media/FWPX8ksUUAA_9bf.jpg,,,,,,,"[{'screen_name': 'gofoodindonesia', 'name': 'GoFood Indonesia', 'id': '1105408086569672706'}]",,,,
